iteration,objective,cw_sin,div_l1,dt
0,1.7277553419e-04,7.3932458282e-01,3.0365529075e-02,2.5000000000e-04
25,1.7066549578e-04,7.3738398709e-01,3.0309303604e-02,3.6273633853e-04
50,1.6767040569e-04,7.3456010943e-01,3.0232725460e-02,5.2631060515e-04
75,1.6346134992e-04,7.3044936493e-01,3.0130977163e-02,7.6364792736e-04
100,1.5763215059e-04,7.2451033925e-01,2.9997562223e-02,1.1080114124e-03
125,1.4973012753e-04,7.1604357594e-01,2.9836272843e-02,1.6076640111e-03
150,1.3934835277e-04,7.0420831468e-01,2.9654068758e-02,2.3326326279e-03
175,1.2631439772e-04,6.8797587937e-01,2.9469787989e-02,3.3845224742e-03
200,1.1096764056e-04,6.6656952473e-01,2.9318715814e-02,4.9107571599e-03
225,9.4382237269e-05,6.3988239888e-01,2.9204864980e-02,7.1252402863e-03
250,7.8242987263e-05,6.0938120121e-01,2.9110190142e-02,1.0338334290e-02
275,6.4218989390e-05,5.7858384564e-01,2.9030530611e-02,1.5000358108e-02
300,5.3250039266e-05,5.5113225348e-01,2.9020493975e-02,2.1764699906e-02
325,4.5306810321e-05,5.2891855999e-01,2.9168675104e-02,3.1579390213e-02
350,3.9699287488e-05,5.1053964454e-01,2.9532942375e-02,4.5819969514e-02
375,3.5634071428e-05,4.9318986103e-01,3.0129182203e-02,6.6482271892e-02
400,3.2579023415e-05,4.7399211082e-01,3.0967886040e-02,9.6462143533e-02
425,3.0158932311e-05,4.5175935975e-01,3.1915128495e-02,1.3996129901e-01
450,2.8281711426e-05,4.2617747259e-01,3.2966715940e-02,2.0307619655e-01
